"year","sample_id","farm_name","producer_name","producer_id","field_name","field_id","county","longitude","latitude","crop","texture","measurement","value"
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","total_n_percent",0.08
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","total_c_percent",0.67
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","toc_percent",0.67
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","om_percent",1.3
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","poxc_mg_kg",130
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","min_c_96hr_mg_c_kg_day",9.8
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","amm_n_mg_kg",2.3
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","nitrate_n_mg_kg",1.9
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","ace_g_protein_kg_soil",5.41
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","pm_n_mg_kg",1.5
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","pm_n_lbs_ac",5.23
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","ec_mmhos_cm",0.29
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","olsen_p_mg_kg",19
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","k_mg_kg",356
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","ca_cmolc_kg",6.6
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","ca_mg_kg",1320
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","mg_cmolc_kg",2.5
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam","mg_mg_kg",302.5
